Path ID,ADV,,,,Origin,Destination,ADV
21-130,8.24,,,,21,130,8.24
20-145,36.79,,,,20,145,36.79
69-152,2.92,,,,69,152,2.92
130-70,16.25,,,,130,70,16.25
104-37,16.09,,,,104,37,16.09
66-3024,22.63,,,,66,3024,22.63
70-129,35.31,,,,70,129,35.31
129-74,19.11,,,,129,74,19.11
70-28,157.46,,,,70,28,157.46
76-116,12.96,,,,76,116,12.96
16-40,21.83,,,,16,40,21.83
64-156,33.16,,,,64,156,33.16
181-177,407.33,,,,181,177,407.33
171-3118,39.22,,,,171,3118,39.22
191-177,76.85,,,,191,177,76.85
35-3114,0.62,,,,35,3114,0.62
104-106,32.23,,,,104,106,32.23
191-163,39.51,,,,191,163,39.51
192-146,16.71,,,,192,146,16.71
106-165,3.03,,,,106,165,3.03
85-68,450.89,,,,85,68,450.89
190-27,1.4,,,,190,27,1.4
28-131,10.58,,,,28,131,10.58
26-3081,17.02,,,,26,3081,17.02
104-28,35.2,,,,104,28,35.2
44-165,1.24,,,,44,165,1.24
88-166,80.61,,,,88,166,80.61
156-60,6.01,,,,156,60,6.01
131-185,67.3,,,,131,185,67.3
193-43,4.27,,,,193,43,4.27
117-194,41.05,,,,117,194,41.05
165-145,11,,,,165,145,11
81-181,473.53,,,,81,181,473.53
135-18,23.12,,,,135,18,23.12
115-3102,66.14,,,,115,3102,66.14
24-81,152.14,,,,24,81,152.14
24-135,30.64,,,,24,135,30.64
115-130,38.73,,,,115,130,38.73
114-145,21.75,,,,114,145,21.75
185-150,678.33,,,,185,150,678.33
145-35,2.97,,,,145,35,2.97
86-3101,65.01,,,,86,3101,65.01
54-60,4.11,,,,54,60,4.11
158-115,1.03,,,,158,115,1.03
76-47,1.44,,,,76,47,1.44
193-115,19.15,,,,193,115,19.15
88-18,152.74,,,,88,18,152.74
135-3024,19.92,,,,135,3024,19.92
41-27,1.4,,,,41,27,1.4
117-17,37.68,,,,117,17,37.68
125-70,57.81,,,,125,70,57.81
116-20,14.34,,,,116,20,14.34
136-20,2.17,,,,136,20,2.17
110-3065,6.73,,,,110,3065,6.73
110-69,15.6,,,,110,69,15.6
31-171,9.9,,,,31,171,9.9
66-60,31.52,,,,66,60,31.52
103-190,92.56,,,,103,190,92.56
100-129,7.58,,,,100,129,7.58
41-194,13.22,,,,41,194,13.22
37-110,0.87,,,,37,110,0.87
20-107,11.98,,,,20,107,11.98
139-111,3.41,,,,139,111,3.41
111-27,4.52,,,,111,27,4.52
40-125,9.33,,,,40,125,9.33
166-117,7.38,,,,166,117,7.38
86-122,123.15,,,,86,122,123.15
40-75,8.21,,,,40,75,8.21
165-166,6.73,,,,165,166,6.73
122-114,172.5,,,,122,114,172.5
88-69,257.93,,,,88,69,257.93
81-29,465.37,,,,81,29,465.37
34-122,29.03,,,,34,122,29.03
139-3114,0.58,,,,139,3114,0.58
29-100,20.41,,,,29,100,20.41
190-135,2.73,,,,190,135,2.73
40-177,3.58,,,,40,177,3.58
35-122,25.32,,,,35,122,25.32
69-142,21.85,,,,69,142,21.85
192-69,15.72,,,,192,69,15.72
122-28,259.79,,,,122,28,259.79
111-66,18.86,,,,111,66,18.86
31-81,82.78,,,,31,81,82.78
68-131,21.22,,,,68,131,21.22
146-103,50.33,,,,146,103,50.33
88-43,147.34,,,,88,43,147.34
158-86,5.14,,,,158,86,5.14
28-27,9.12,,,,28,27,9.12
54-69,18.07,,,,54,69,18.07
139-108,5.18,,,,139,108,5.18
24-149,17.92,,,,24,149,17.92
165-171,49.76,,,,165,171,49.76
192-3081,7.44,,,,192,3081,7.44
29-43,26.85,,,,29,43,26.85
135-125,41.34,,,,135,125,41.34
35-171,2.12,,,,35,171,2.12
139-106,9.49,,,,139,106,9.49
66-129,5.46,,,,66,129,5.46
156-115,65.9,,,,156,115,65.9
34-171,5.08,,,,34,171,5.08
190-117,14.82,,,,190,117,14.82
34-104,1.45,,,,34,104,1.45
41-108,7.85,,,,41,108,7.85
81-64,285.66,,,,81,64,285.66
136-100,10.54,,,,136,100,10.54
68-130,40.6,,,,68,130,40.6
54-28,25.03,,,,54,28,25.03
142-114,86.08,,,,142,114,86.08
88-54,135.02,,,,88,54,135.02
21-74,16.24,,,,21,74,16.24
122-18,162.55,,,,122,18,162.55
100-111,86.76,,,,100,111,86.76
86-81,238,,,,86,81,238
176-156,1000.29,,,,176,156,1000.29
29-176,98.85,,,,29,176,98.85
192-68,36.78,,,,192,68,36.78
26-193,22.57,,,,26,193,22.57
106-3114,4.05,,,,106,3114,4.05
103-17,75.52,,,,103,17,75.52
100-88,194.66,,,,100,88,194.66
146-193,18.1,,,,146,193,18.1
114-27,2.71,,,,114,27,2.71
166-85,11.37,,,,166,85,11.37
125-29,41.05,,,,125,29,41.05
17-81,13.14,,,,17,81,13.14
130-125,25.63,,,,130,125,25.63
24-66,241.54,,,,24,66,241.54
192-193,29.85,,,,192,193,29.85
149-145,12.03,,,,149,145,12.03
29-181,69.26,,,,29,181,69.26
41-70,8.63,,,,41,70,8.63
131-86,18.87,,,,131,86,18.87
29-47,5.19,,,,29,47,5.19
54-103,10.4,,,,54,103,10.4
54-85,21.32,,,,54,85,21.32
85-103,556.26,,,,85,103,556.26
145-193,2.77,,,,145,193,2.77
40-104,9.77,,,,40,104,9.77
190-60,4.32,,,,190,60,4.32
114-136,18,,,,114,136,18
166-116,3.72,,,,166,116,3.72
135-74,13.68,,,,135,74,13.68
60-152,7.11,,,,60,152,7.11
149-17,1.95,,,,149,17,1.95
47-81,0.77,,,,47,81,0.77
166-3071,9.26,,,,166,3071,9.26
104-76,12.44,,,,104,76,12.44
171-3024,27.37,,,,171,3024,27.37
110-3081,20.71,,,,110,3081,20.71
115-18,33,,,,115,18,33
40-106,12.93,,,,40,106,12.93
31-70,90.37,,,,31,70,90.37
135-179,8.33,,,,135,179,8.33
16-64,90.62,,,,16,64,90.62
27-115,0.98,,,,27,115,0.98
108-85,60.13,,,,108,85,60.13
54-44,5.57,,,,54,44,5.57
176-158,135.17,,,,176,158,135.17
21-18,27.85,,,,21,18,27.85
16-3024,14.3,,,,16,3024,14.3
44-26,7.42,,,,44,26,7.42
171-20,39.68,,,,171,20,39.68
85-136,82.06,,,,85,136,82.06
28-3118,25.21,,,,28,3118,25.21
149-21,1.66,,,,149,21,1.66
131-31,12.32,,,,131,31,12.32
179-43,8.7,,,,179,43,8.7
26-110,11.85,,,,26,110,11.85
106-28,22.21,,,,106,28,22.21
54-3102,17.14,,,,54,3102,17.14
74-44,7.08,,,,74,44,7.08
156-3112,10.13,,,,156,3112,10.13
16-106,25.26,,,,16,106,25.26
149-75,1.15,,,,149,75,1.15
18-136,3.6,,,,18,136,3.6
85-179,195.56,,,,85,179,195.56
103-150,42.53,,,,103,150,42.53
88-114,740.2,,,,88,114,740.2
18-192,9.93,,,,18,192,9.93
21-31,56.8,,,,21,31,56.8
110-20,18.42,,,,110,20,18.42
117-107,58.36,,,,117,107,58.36
117-125,34.67,,,,117,125,34.67
191-100,104.91,,,,191,100,104.91
156-47,2.92,,,,156,47,2.92
179-24,8.12,,,,179,24,8.12
125-74,8.52,,,,125,74,8.52
40-156,9,,,,40,156,9
156-190,58.45,,,,156,190,58.45
122-40,192.05,,,,122,40,192.05
35-70,9.52,,,,35,70,9.52
20-35,18.86,,,,20,35,18.86
185-41,370.36,,,,185,41,370.36
177-165,13.3,,,,177,165,13.3
41-85,5.01,,,,41,85,5.01
110-81,51.1,,,,110,81,51.1
20-3081,4.92,,,,20,3081,4.92
156-185,84.09,,,,156,185,84.09
44-21,2.85,,,,44,21,2.85
135-64,57.82,,,,135,64,57.82
185-158,68.69,,,,185,158,68.69
122-117,119.68,,,,122,117,119.68
193-26,10.15,,,,193,26,10.15
20-60,15.18,,,,20,60,15.18
37-43,7.62,,,,37,43,7.62
31-3112,120.65,,,,31,3112,120.65
146-66,18.12,,,,146,66,18.12
76-26,15.57,,,,76,26,15.57
115-3117,93.72,,,,115,3117,93.72
34-28,9.09,,,,34,28,9.09
116-127,15.14,,,,116,127,15.14
116-24,17.27,,,,116,24,17.27
139-29,3.55,,,,139,29,3.55
54-125,6.61,,,,54,125,6.61
108-88,61.45,,,,108,88,61.45
35-158,1.84,,,,35,158,1.84
34-41,7.69,,,,34,41,7.69
166-26,6.84,,,,166,26,6.84
166-3102,1.03,,,,166,3102,1.03
41-135,2.12,,,,41,135,2.12
68-40,39.94,,,,68,40,39.94
166-131,5.43,,,,166,131,5.43
85-145,220.4,,,,85,145,220.4
40-115,7.16,,,,40,115,7.16
111-44,2.75,,,,111,44,2.75
34-145,6.76,,,,34,145,6.76
40-76,5.47,,,,40,76,5.47
18-18,64.69,,,,18,18,64.69
106-24,16.63,,,,106,24,16.63
74-185,38.21,,,,74,185,38.21
142-31,143.86,,,,142,31,143.86
110-3024,21.11,,,,110,3024,21.11
145-41,3.88,,,,145,41,3.88
21-142,41.23,,,,21,142,41.23
35-142,15.48,,,,35,142,15.48
122-130,320.18,,,,122,130,320.18
20-68,27.85,,,,20,68,27.85
37-3114,1.34,,,,37,3114,1.34
41-3101,9.65,,,,41,3101,9.65
44-16,5.32,,,,44,16,5.32
165-149,7.77,,,,165,149,7.77
76-54,8.65,,,,76,54,8.65
111-152,11.48,,,,111,152,11.48
135-29,24.99,,,,135,29,24.99
37-142,5.41,,,,37,142,5.41
69-3081,8.32,,,,69,3081,8.32
122-194,101.92,,,,122,194,101.92
86-16,206.61,,,,86,16,206.61
60-31,618.29,,,,60,31,618.29
116-18,17.49,,,,116,18,17.49
116-111,16.59,,,,116,111,16.59
21-163,2.44,,,,21,163,2.44
127-40,53.42,,,,127,40,53.42
111-81,21.35,,,,111,81,21.35
107-146,5,,,,107,146,5
192-66,28.65,,,,192,66,28.65
111-158,2.02,,,,111,158,2.02
75-114,24.84,,,,75,114,24.84
66-131,16.59,,,,66,131,16.59
114-37,8.59,,,,114,37,8.59
31-108,31.37,,,,31,108,31.37
136-26,3.48,,,,136,26,3.48
181-29,276.25,,,,181,29,276.25
192-24,25.69,,,,192,24,25.69
54-86,27.91,,,,54,86,27.91
131-139,102.12,,,,131,139,102.12
88-74,251.66,,,,88,74,251.66
179-125,4.66,,,,179,125,4.66
192-3101,11.37,,,,192,3101,11.37
28-54,40.17,,,,28,54,40.17
100-3024,26.09,,,,100,3024,26.09
129-76,13.98,,,,129,76,13.98
60-27,6.94,,,,60,27,6.94
24-35,67.14,,,,24,35,67.14
156-18,19.46,,,,156,18,19.46
20-163,5.57,,,,20,163,5.57
75-135,9.12,,,,75,135,9.12
111-76,16.63,,,,111,76,16.63
18-41,29.01,,,,18,41,29.01
125-27,1.43,,,,125,27,1.43
156-176,67.61,,,,156,176,67.61
135-34,1.98,,,,135,34,1.98
122-20,168.84,,,,122,20,168.84
34-86,10.61,,,,34,86,10.61
76-158,1.11,,,,76,158,1.11
185-139,328.12,,,,185,139,328.12
156-114,65.54,,,,156,114,65.54
106-129,5.96,,,,106,129,5.96
127-145,175.85,,,,127,145,175.85
26-21,43.02,,,,26,21,43.02
66-21,42.2,,,,66,21,42.2
108-192,26.04,,,,108,192,26.04
64-69,98.79,,,,64,69,98.79
177-130,18.15,,,,177,130,18.15
139-190,12.69,,,,139,190,12.69
34-111,5.87,,,,34,111,5.87
149-125,4.76,,,,149,125,4.76
107-18,9.2,,,,107,18,9.2
122-86,159.21,,,,122,86,159.21
104-18,25.58,,,,104,18,25.58
16-28,59.47,,,,16,28,59.47
40-185,41.24,,,,40,185,41.24
29-158,16.34,,,,29,158,16.34
114-18,42.84,,,,114,18,42.84
193-176,107.73,,,,193,176,107.73
166-145,10.59,,,,166,145,10.59
69-81,17.18,,,,69,81,17.18
150-40,23.97,,,,150,40,23.97
54-3065,4.94,,,,54,3065,4.94
114-194,36.13,,,,114,194,36.13
28-44,38.38,,,,28,44,38.38
171-44,55.58,,,,171,44,55.58
81-3065,103.23,,,,81,3065,103.23
100-156,17.22,,,,100,156,17.22
81-115,210.92,,,,81,115,210.92
171-177,39.12,,,,171,177,39.12
194-193,390.16,,,,194,193,390.16
145-179,4.84,,,,145,179,4.84
129-110,17.66,,,,129,110,17.66
115-37,11.74,,,,115,37,11.74
75-106,13.48,,,,75,106,13.48
150-185,246.52,,,,150,185,246.52
86-60,77.21,,,,86,60,77.21
54-68,10.88,,,,54,68,10.88
21-131,1.59,,,,21,131,1.59
74-81,137.86,,,,74,81,137.86
131-3081,19.73,,,,131,3081,19.73
139-24,11.64,,,,139,24,11.64
130-103,13.2,,,,130,103,13.2
60-21,149.2,,,,60,21,149.2
110-135,8.17,,,,110,135,8.17
68-81,53.39,,,,68,81,53.39
24-20,194.53,,,,24,20,194.53
104-139,21.99,,,,104,139,21.99
26-3071,34.64,,,,26,3071,34.64
75-131,5.28,,,,75,131,5.28
107-3071,17.99,,,,107,3071,17.99
142-21,79.47,,,,142,21,79.47
108-142,48.77,,,,108,142,48.77
44-192,2.82,,,,44,192,2.82
70-171,152.8,,,,70,171,152.8
110-139,9.42,,,,110,139,9.42
110-136,2.54,,,,110,136,2.54
193-68,11.4,,,,193,68,11.4
104-135,15.67,,,,104,135,15.67
41-150,16.73,,,,41,150,16.73
156-3117,9.85,,,,156,3117,9.85
166-21,7.74,,,,166,21,7.74
27-114,1.19,,,,27,114,1.19
149-158,1.78,,,,149,158,1.78
116-192,9.1,,,,116,192,9.1
85-3118,326.84,,,,85,3118,326.84
116-158,0.63,,,,116,158,0.63
44-76,2.81,,,,44,76,2.81
145-108,4.4,,,,145,108,4.4
64-20,138.6,,,,64,20,138.6
24-165,15.33,,,,24,165,15.33
136-40,1.04,,,,136,40,1.04
158-127,1.44,,,,158,127,1.44
29-11,64.34,,,,29,11,64.34
122-24,168.85,,,,122,24,168.85
26-66,45.67,,,,26,66,45.67
68-41,34.52,,,,68,41,34.52
104-81,32.45,,,,104,81,32.45
41-129,2.25,,,,41,129,2.25
85-190,282.81,,,,85,190,282.81
136-107,4.21,,,,136,107,4.21
27-16,0.84,,,,27,16,0.84
18-35,9.7,,,,18,35,9.7
44-54,2.12,,,,44,54,2.12
17-34,28.6,,,,17,34,28.6
115-129,6.12,,,,115,129,6.12
75-179,11.67,,,,75,179,11.67
64-81,143.77,,,,64,81,143.77
130-3117,3.39,,,,130,3117,3.39
115-27,0.78,,,,115,27,0.78
47-16,0.92,,,,47,16,0.92
163-176,11.36,,,,163,176,11.36
156-44,8.3,,,,156,44,8.3
181-176,806.24,,,,181,176,806.24
16-86,39.85,,,,16,86,39.85
125-108,24.83,,,,125,108,24.83
135-142,101.43,,,,135,142,101.43
75-104,25.23,,,,75,104,25.23
44-17,9.82,,,,44,17,9.82
103-47,1.1,,,,103,47,1.1
75-54,5.54,,,,75,54,5.54
103-85,127.5,,,,103,85,127.5
75-44,6.18,,,,75,44,6.18
127-3114,22.85,,,,127,3114,22.85
64-130,27.9,,,,64,130,27.9
185-192,63.71,,,,185,192,63.71
156-107,20.64,,,,156,107,20.64
88-24,299.43,,,,88,24,299.43
86-31,160.19,,,,86,31,160.19
74-16,48.03,,,,74,16,48.03
17-86,29.51,,,,17,86,29.51
150-54,18.22,,,,150,54,18.22
41-117,9.82,,,,41,117,9.82
108-194,37.09,,,,108,194,37.09
149-3024,1.01,,,,149,3024,1.01
43-176,13.33,,,,43,176,13.33
158-165,2.99,,,,158,165,2.99
110-125,16.85,,,,110,125,16.85
24-176,129.97,,,,24,176,129.97
108-76,30.92,,,,108,76,30.92
185-115,140.96,,,,185,115,140.96
43795,37.2,,,,43795,,37.2
158-24,3.63,,,,158,24,3.63
43-179,2.1,,,,43,179,2.1
106-125,24.25,,,,106,125,24.25
171-194,249.8,,,,171,194,249.8
85-166,190.66,,,,85,166,190.66
179-127,6.22,,,,179,127,6.22
192-31,57.61,,,,192,31,57.61
88-88,386.09,,,,88,88,386.09
85-31,367.73,,,,85,31,367.73
40-44,79.05,,,,40,44,79.05
68-3114,3.67,,,,68,3114,3.67
17-131,2.55,,,,17,131,2.55
103-3065,8.44,,,,103,3065,8.44
88-76,421.37,,,,88,76,421.37
