,Origin,Destination,Distance,Time
2050,8007,1505,275,4
2051,2379,6095,121,2
2052,2554,17922,419,9
2053,4072,4730,263,4
2054,3784,1022,122,2
2055,7801,17756,148,2
2056,10913,7307,29,1
2057,19454,11236,106,2
2058,4005,5452,238,4
2059,13209,3466,230,4
2060,19454,17922,78,1
2061,2771,13209,313,5
2062,17756,14586,179,3
2063,16323,18067,283,4
2064,7801,3784,295,5
2065,8817,15801,282,4
2066,4005,17756,449,7
2067,2379,10523,197,3
2068,14845,10913,224,3
2069,8832,10523,53,1
2070,1022,4072,178,3
2071,8810,19454,52,1
2072,19454,16323,318,5
2073,2771,12144,165,3
2074,1760,5452,227,3
2075,19113,2346,321,5
2076,17756,7606,176,3
2077,7307,8007,87,2
2078,4005,13403,350,5
2079,17339,16415,303,5
2080,6615,10913,55,1
2081,13403,3053,293,4
2082,3561,11239,344,5
2083,19154,14219,387,6
2084,10523,4005,281,4
2085,18067,11236,111,2
2086,6615,12901,297,5
2087,6279,17922,275,4
2088,1887,8007,313,5
2089,6615,6074,61,1
2090,18067,12901,377,6
2091,6615,11236,68,1
2092,17922,8817,117,2
2093,1887,11211,222,4
2094,17756,13748,120,2
2095,7307,17057,174,3
2096,3784,17922,399,6
2097,4730,1887,348,5
2098,2379,15639,557,8
2099,13403,8810,282,4
2100,4005,6457,201,3
2101,14845,3053,393,6
2102,2554,6095,193,6
2103,8691,19154,28,1
2104,2379,17922,352,6
2105,12901,19341,405,6
2106,15639,6492,431,7
2107,16415,17339,303,5
2108,3784,1760,140,2
2109,16063,16063,0,0
2110,2554,1760,116,5
2111,13209,6615,290,4
2112,8007,11211,92,2
2113,1022,14586,307,4
2114,6095,11741,155,3
2115,1862,4730,349,5
2116,7307,14219,373,6
2117,14586,11239,357,5
2118,6615,16063,453,7
2119,14845,3784,327,5
2120,2379,8832,244,4
2121,15801,11239,309,5
2122,19154,19454,24,0
2123,11741,14586,386,6
2124,11714,11211,29,1
2125,7307,16063,393,6
2126,6279,13403,227,3
2127,8007,10913,112,2
2128,1887,14586,398,6
2129,1887,3466,91,2
2130,15801,13403,330,5
2131,17922,1505,321,5
2132,17339,14845,190,3
2133,12901,19454,373,6
2134,1887,1862,9,0
2135,14219,11236,380,6
2136,18067,18067,0,0
2137,10913,13748,164,3
2138,1760,4005,109,2
2139,1862,6492,132,2
2140,4730,19113,665,10
2141,3561,4072,109,3
2142,6279,11101,135,2
2143,11239,6615,66,1
2144,17922,12144,258,4
2145,1022,7307,158,3
2146,7606,8810,52,1
2147,7307,17756,178,3
2148,7606,7606,0,0
2149,2346,6095,121,2
2150,15801,11101,289,4
2151,6074,17339,308,5
2152,14845,3466,277,5
2153,8691,3561,398,6
2154,1760,6615,137,2
2155,4730,10523,539,8
2156,11239,12144,168,3
2157,15801,8817,280,4
2158,16063,1022,530,8
2159,13209,6279,280,4
2160,15639,11741,395,6
2161,19341,6457,224,4
2162,15639,7307,336,5
2163,8810,11101,48,1
2164,11714,11714,0,0
2165,19454,8817,68,1
2166,5452,8810,344,6
2167,2554,8007,372,8
2168,6279,10913,127,2
2169,13209,15639,388,6
2170,14219,2346,477,7
2171,2554,7801,316,8
2172,8832,8817,7,0
2173,2554,8832,311,8
2174,19454,11101,103,2
2175,19454,6457,203,3
2176,11211,3466,206,3
2177,6615,17922,198,3
2178,3561,19154,422,6
2179,2379,6615,154,2
2180,11211,19154,86,1
2181,11211,17339,185,3
2182,13601,13601,0,0
2183,3466,14586,305,5
2184,18067,2554,376,9
2185,7801,11239,62,1
2186,8007,6615,153,2
2187,13403,7307,240,4
2188,1505,15801,457,7
2189,10913,12144,129,2
2190,14586,16323,220,3
2191,8810,11741,97,2
2192,7307,5452,300,5
2193,15639,11239,359,5
2194,19454,13403,254,4
2195,1760,4072,114,2
2196,17922,1532,324,5
2197,19154,15801,277,4
2198,6492,13209,283,4
2199,16323,8832,349,5
2200,13209,3053,346,5
2201,19113,6457,208,3
2202,18067,6095,213,4
2203,15639,3561,679,10
2204,17756,7307,178,3
2205,7801,6279,170,3
2206,6095,19154,204,3
2207,4005,16323,637,10
2208,18067,16323,283,4
2209,14586,6492,360,5
2210,19454,17756,150,2
2211,17756,4005,449,7
2212,14586,6095,328,5
2213,2771,8810,235,4
2214,2346,2346,0,0
2215,13601,17057,331,5
2216,12901,12144,163,2
2217,11211,14586,335,5
2218,17922,17339,62,1
2219,14219,10523,366,6
2220,17057,6457,283,4
2221,4730,1505,378,5
2222,2554,1887,118,5
2223,4005,17922,436,7
2224,1532,8832,216,3
2225,3784,11714,277,4
2226,8832,11211,32,1
2227,12144,17339,306,5
2228,13748,16415,285,4
2229,4005,11236,306,5
2230,15639,19454,274,4
2231,13209,11741,306,5
2232,18067,1532,281,5
2233,7801,8691,77,1
2234,13209,11714,287,4
2235,18067,1760,292,5
2236,4730,19454,659,10
2237,14586,5452,321,6
2238,19154,19154,0,0
2239,2379,13403,281,4
2240,16415,8817,421,6
2241,13601,2346,359,6
2242,6615,1760,136,2
2243,14219,14219,0,0
2244,15639,15639,0,0
2245,17339,6492,275,4
2246,4072,6095,193,3
2247,8691,16323,361,5
2248,6457,4005,201,3
2249,12144,3466,85,2
2250,13601,11239,342,5
2251,7606,8832,32,1
2252,3466,6279,111,2
2253,18067,13209,203,3
2254,1862,19113,326,5
2255,6457,2554,198,6
2256,15801,16323,68,1
2257,3784,3561,77,1
2258,12901,11741,357,5
2259,16415,3466,467,7
2260,16063,10523,412,6
2261,12144,13748,139,2
2262,19154,7606,86,1
2263,14845,6279,317,5
2264,6492,8810,137,2
2265,1887,19113,326,5
2266,5452,3561,93,2
2267,8691,4730,622,9
2268,1862,1532,34,1
2269,15639,17922,219,3
2270,2771,1532,47,1
2271,19154,14586,342,5
2272,18067,10523,119,2
2273,4072,3053,86,1
2274,15801,11236,294,5
2275,18067,8832,78,1
2276,11236,1760,204,3
2277,3784,2379,153,2
2278,11236,1532,193,3
2279,19113,18067,76,1
2280,14845,19341,245,4
2281,8810,15639,313,5
2282,8810,19154,37,1
2283,11211,6279,139,2
2284,16063,3561,675,10
2285,3053,3053,0,0
2286,13601,6279,304,5
2287,8810,17339,150,2
2288,7801,13209,218,3
2289,2554,13403,356,8
2290,6457,6492,14,0
2291,8810,11714,77,2
2292,8810,12901,347,5
2293,6615,2346,156,2
2294,16063,11239,418,6
2295,8810,8007,53,1
2296,13403,13748,99,2
2297,13748,14219,211,3
2298,3053,4072,89,1
2299,5452,6074,227,3
2300,15801,12144,373,6
2301,11741,12901,357,5
2302,6074,3561,217,3
2303,3784,8691,323,5
2304,17922,5452,413,7
2305,11101,17057,183,3
2306,14219,13209,150,2
2307,10913,15801,298,4
2308,10523,8810,73,1
2309,6615,7801,95,2
2310,13601,1862,348,6
2311,4072,4072,0,0
2312,4730,15801,834,12
2313,6279,8691,198,3
2314,7307,11239,16,1
2315,3784,2554,225,6
2316,14586,6074,331,5
2317,13748,17057,183,3
2318,14586,14219,74,1
2319,13601,4730,638,10
2320,18067,4005,394,6
2321,11101,13403,245,4
2322,8007,17057,114,2
2323,8691,13748,199,3
2324,17339,10913,206,3
2325,6615,16415,483,7
2326,16415,19454,396,6
2327,17922,19113,96,2
