Path ID,ADV [Corrected]
122-20,168.84
34-86,10.61
76-158,1.11
185-139,328.12
156-114,65.54
106-129,5.96
127-145,175.85
26-21,43.02
66-21,42.2
108-192,26.04
64-69,98.79
177-130,18.15
139-190,12.69
34-111,5.87
149-125,4.76
107-18,9.2
122-86,159.21
104-18,25.58
16-28,59.47
40-185,41.24
29-158,16.34
114-18,42.84
193-176,107.73
166-145,10.59
69-81,17.18
150-40,23.97
54-3065,4.94
114-194,36.13
28-44,38.38
171-44,55.58
81-3065,103.23
100-156,17.22
81-115,210.92
171-177,39.12
194-193,390.16
145-179,4.84
129-110,17.66
115-37,11.74
75-106,13.48
150-185,246.52
86-60,77.21
54-68,10.88
21-131,1.59
74-81,137.86
131-3081,19.73
139-24,11.64
130-103,13.2
60-21,149.2
110-135,8.17
68-81,53.39
24-20,194.53
104-139,21.99
26-3071,34.64
75-131,5.28
107-3071,17.99
142-21,79.47
108-142,48.77
44-192,2.82
70-171,152.8
110-139,9.42
110-136,2.54
193-68,11.4
104-135,15.67
41-150,16.73
156-3117,9.85
166-21,7.74
27-114,1.19
149-158,1.78
116-192,9.1
85-3118,326.84
116-158,0.63
44-76,2.81
145-108,4.4
64-20,138.6
24-165,15.33
136-40,1.04
158-127,1.44
29-11,64.34
122-24,168.85
26-66,45.67
68-41,34.52
104-81,32.45
41-129,2.25
85-190,282.81
136-107,4.21
27-16,0.84
18-35,9.7
44-54,2.12
17-34,28.6
115-129,6.12
75-179,11.67
64-81,143.77
130-3117,3.39
115-27,0.78
47-16,0.92
163-176,11.36
156-44,8.3
181-176,806.24
16-86,39.85
125-108,24.83
135-142,101.43
75-104,25.23
44-17,9.82
103-47,1.1
75-54,5.54
103-85,127.5
75-44,6.18
127-3114,22.85
64-130,27.9
185-192,63.71
156-107,20.64
88-24,299.43
86-31,160.19
74-16,48.03
17-86,29.51
150-54,18.22
41-117,9.82
108-194,37.09
149-3024,1.01
43-176,13.33
158-165,2.99
110-125,16.85
24-176,129.97
108-76,30.92
185-115,140.96
26-Nov,37.2
158-24,3.63
43-179,2.1
106-125,24.25
171-194,249.8
85-166,190.66
179-127,6.22
192-31,57.61
88-88,386.09
85-31,367.73
40-44,79.05
68-3114,3.67
17-131,2.55
103-3065,8.44
88-76,421.37
24-181,111.06
24-37,114.57
192-3112,6.93
110-163,2.42
37-181,3.62
20-100,26.89
122-181,146.1
81-104,235.67
81-145,149.72
47-176,0.58
145-111,4.39
171-111,34.43
177-104,23.53
37-16,7.94
181-40,214.19
111-103,44.66
76-64,42.25
139-47,1.11
74-69,72.46
100-66,75.5
150-60,14.19
125-16,31.73
25-185,1.11
193-136,2.17
26-127,19.37
21-127,15.02
139-69,4.81
149-108,5.23
Nov-47,6.19
135-3114,7.22
114-81,75.17
181-88,502.03
111-129,2.98
129-139,4.01
185-76,164.91
44-149,1.24
21-76,14.31
136-193,2.52
43-16,18.31
114-17,54.19
70-106,371.05
145-76,5.68
191-179,79.41
103-3118,42.42
40-116,2.17
146-179,17.92
131-66,20.61
31-156,31.21
29-156,44.84
20-25,3.79
103-28,33.73
115-11,19.69
26-114,32.75
149-3114,1.27
26-3065,9.35
181-3071,262.3
181-106,207.95
29-28,133.35
152-81,51.3
108-190,45.73
152-191,71.71
116-145,4.85
35-117,2.64
171-129,10.17
Nov-18,8.13
122-31,309.8
122-69,90.11
75-21,46.17
145-3102,5.96
35-150,5.28
100-107,98.61
129-3024,9.19
179-136,1.87
135-24,11.2
127-129,93.33
110-194,33.67
114-116,14.61
115-177,18.22
34-70,12.45
81-3101,714.82
190-37,3.75
43-3118,2.05
18-115,15.03
194-158,16.65
74-115,70.63
194-3114,21.23
194-115,122.61
35-127,2.26
185-193,110.23
156-25,1.38
145-24,7.21
107-185,26.38
107-131,3.23
177-76,7.11
44-176,14.16
177-193,4.21
176-3071,1376.41
104-54,17.3
131-136,50.28
70-131,35.38
66-88,28.08
192-150,42.49
166-107,2.21
130-110,7.57
107-17,5.23
17-75,16.48
28-3117,28.93
20-194,26.58
43-145,4.6
40-149,7
81-156,165.56
179-142,29.29
146-64,37.38
193-60,5.38
150-104,16.17
191-110,24.49
185-181,477.48
179-21,20.72
43-117,4.04
103-130,27.79
114-34,13.36
34-136,2.96
68-192,19.94
81-70,542.36
131-88,34.36
111-29,6.99
29-81,70.19
29-41,37.87
64-21,136.37
108-181,50.49
17-43,64.76
136-43,3.09
31-125,41.48
26-60,5.89
66-3081,35.23
11-185,30.7
34-43,9.58
179-3101,19.02
179-194,27.9
74-176,79.07
86-139,48.52
193-106,14.64
69-17,20.35
158-76,0.74
129-60,3.05
117-136,18.24
135-131,22.94
136-17,4.46
108-60,7.76
129-40,7.49
17-156,9.27
181-156,537.18
66-156,22.6
86-146,78.43
115-85,53.23
69-193,9.25
20-3114,3.55
69-107,20.32
131-117,8.91
104-185,51.29
149-131,15.95
171-85,153.15
190-100,22.6
41-31,59.56
69-165,3.77
111-149,5.17
69-106,61.42
129-176,20.38
179-3112,21.05
156-31,33.99
171-158,27.13
149-146,8.07
139-43,3.2
139-66,7.03
103-21,40.11
115-136,9.05
21-3081,6.34
103-27,2.13
74-3114,3.78
43-11,9.59
21-3102,22.11
69-37,4.29
100-176,176.69
117-131,19.71
115-44,10.32
177-107,21.83
111-11,7.08
86-129,43.09
24-11,346.1
104-181,54.73
17-85,14.14
181-193,358.81
70-43,62.56
115-108,80.85
26-190,10.29
131-171,19.69
17-40,55.2
177-185,38.13
31-75,44.02
194-29,78.53
114-3065,25.51
125-3081,10.34
193-47,1.02
166-136,5.15
35-135,3.04
74-117,35.76
142-16,47.18
136-179,0.55
16-68,59.73
75-3024,8.63
145-131,19.58
158-3024,1.2
86-193,93.76
125-3071,32.3
171-34,21.88
125-149,14.43
44-43,27.51
103-179,30.02
20-142,66.99
131-47,2.65
29-117,34.82
114-158,8.23
69-110,6.38
192-88,50.41
130-166,4.23
31-29,248.31
114-20,22.42
40-194,18.86
191-146,28.84
114-193,8.34
185-66,270.82
139-68,14.82
24-108,58.09
107-24,9.45
106-17,10.09
111-74,7.28
74-3065,6.67
64-111,49.57
191-156,195.8
